timestamp,tweet,content,emotion,username,followers,location,state
7/9/19 10:39,@AOC Seems that's a NYC problem and not a federal government problem. Public housing shouldn't exist anyways but if you make them dependant on you then they will keep voting you into an overpaid job.,Comment,Frustrated,ericturbeville1,27,,
7/9/19 3:59,@LukeHowarthMP I would prefer Services for all reather than tax cuts for some. You could have postponed the tax cuts and funded public housing- which saves $$$ by reduced expenditure on legal &amp; health services https://t.co/2SNHw98erH,Policy Decision,Frustrated,SisterOMalley,699,Armidale NSW,
7/8/19 19:39,@IamJohnBurnett @AOC Is there a reason we can't properly fund public housing AND shut down the concentration camps at the border? I see no problem in doing both.,Question,Frustrated,MJtheProphet,418,Ohio,OH
7/8/19 15:00,"@NickyDommy @byJoshuaDavis @yimbyaction It is a problem as simple as supply and demand. Restrict supply and demand goes through the roof.  Public housing is the dehumanizing and demoralizing option of last resort, not a solution for the middle class. When the middle class can't afford to live, something else is wrong.",Comment,Frustrated,WhenItDiesThere,135,"California, USA",CA
7/8/19 4:19,"@fresh_knight The alternative is to ticket, fine and jail homeless individuals that cannot pay. That\xe2\x80\x99s a waste of resources that can be used to find a better solution to the problem. We need more low-income public housing, better access to mental healthcare, better foster care system, ...",Comment,Frustrated,No_Es_Noe,12,"Montopolis, Austin",
7/7/19 23:23,"""They tell us to paint over it, keep the windows open, and we do that. Housing say \'that\'s your problem, not ours\'."" Mould in public housing: family seeks action https://t.co/hDJwj44I2z via @ExaminerOnline https://t.co/2gIKJhMjVR",Maintenance,Frustrated,ACMVora,3304,Australia,
7/7/19 21:22,"""They tell us to paint over it, keep the windows open, and we do that. Housing say \'that\'s your problem, not ours\'."" Mould in public housing: family seeks action https://t.co/hDJwj44I2z via @ExaminerOnline https://t.co/uoM2zoYiob",Maintenance,Frustrated,ACMVora,3304,Australia,
7/7/19 16:32,"@RashidaTlaib Let\xe2\x80\x99s send all of them to YOUR district/community.   Stop forcing border states to take on this burden because you REFUSE to change the laws.   You people promise illegals free healthcare, education, sanctuary, public housing, and easy path to citizenship.   YOU\xe2\x80\x99RE THE PROBLEM!",Comment,Frustrated,lisac0814,127,,
7/6/19 20:45,@WhiteHouse I want the immediate home expense to be withdrawnbas needed.. Matinance is not a problem B.. If if I buy home their still legacy homes and the become historical so the value and equity automatically  appreciates.. So.. Why would you raise the value of public housing??,Question,Frustrated,PCaleef,7,"New Jersey, USA",NJ
7/6/19 6:00,@yasminxakh ok first of all this is like one of the worst ideas ever because they could just make affordable public housing or maybe first they could deal with their ridiculous homeless problem second it was a joke and it's not a race thing,Comment,Frustrated,caffeinelesbian,23,,
7/6/19 4:18,"@geoffsimmonz Because their governments invest in public housing... https://t.co/Xj7rP3b4TR Government housing doesn't have to make a profit (from rent), and in fact the rents are subsidized in some European countries. Subsidized rents would be better than a UBI to solve the housing problem.",Comment,Frustrated,BLatro,28,New Zealand,
7/6/19 1:24,@Sofonisbe @peter__stern @ewarren i don\xe2\x80\x99t think anyone is disgreeing with your last two statements. the question at hand for me is \xe2\x80\x9cwhat is the biggest problem with rent prices in most of america: tax and public housing policy or how many units are being built?\xe2\x80\x9d,Question,Confused,youlickboots,433,"Carrboro, NC",NC
7/5/19 11:03,"Public subsidized housing has long suffered from a myriad of systemic problems \xe2\x80\x94 repairs, inspections and budgetary restraints. It\xe2\x80\x99s a problem SAP partner @BoodsKapper_Inc is solving with artificial intelligence and #machinelearning. Learn more: https://t.co/OyFmFYtip8 https://t.co/R6fbKJcl5x",News,Neutral,SAPPartnerEdge,26118,,
7/4/19 19:33,"This policy is a good ex of the problem with Warren\'s instincts when it comes to crafting policy. The crux of this plan is giving money to developers to build and rehab ""affordable units"" &amp; offer grants conditional on removing local zoning. Why not build direct public housing? https://t.co/DfKYe3XgZt",Question,Frustrated,TSBigMoney,294,Post-Reality,
7/4/19 13:00,A public housing tenant thought she wouldn't need to put in a NYCHA repair request so soon after her kitchen was fixed. But the original problem is back. And NYCHA isn't. https://t.co/j2a7n2cHhP,Maintenance,Frustrated,NY1,446534,New York City,NY
7/4/19 12:33,"@WhenDovesCry2 @Erstejahre @AdamBandt @QldGreens It wouldn't be nearly the problem that it is today if the govt hadn't sold off so much of its public housing to past tenants, and if they hadn't allowed the housing market to get out of control, bidding up rents to unaffordability. So it is the govt's problem to solve with $$$.",Comment,Frustrated,helen_it,460,Wisconsin,WI
7/4/19 3:29,"@ApoliticalN @beamish_girl @JohnFugelsang I\xe2\x80\x99ve lived in public housing - the Navy version - a 3BR house.  Not bad at all, and *much* cheaper.  Problem is, you seem to have convinced yourself that we want the gov\xe2\x80\x99t to run everything. We DON\xe2\x80\x99T.  That\xe2\x80\x99s just the claptrap fed to you by right-wing media.",Comment,Frustrated,RocessGlenn,2191,"Washington, USA",WA
7/4/19 2:00,"The problem is larger than that though. The financialization of housing and role of land price also needs to be accounted for before prices can be reduced.  I'm not sure where @jen_keesmaat stands now, but her mayoral campaign focused on \xe2\x80\x98affordable\xe2\x80\x99, not public, housing.",Comment,Frustrated,parismarx,2334,Canada,
7/3/19 14:53,"First, deport all the illegals on the streets of YOUR CA cities and those in public housing. Then, tell your governor &amp; state representatives to give back the billions you're taking from taxpayers in your state to pay for free HC for illegals. Problem solved! @RepMaxineWaters https://t.co/CU5cCQWm37",Comment,Frustrated,marie_michigan,1385,,
7/3/19 4:11,"@jdcmedlock @perceval_theron @1_swimbeast Problem is, if you start building public housing and make it open to everyone the wait lists just become insane because you can't build it fast enough to meet the demand.",Comment,Frustrated,DIorioNathaniel,2648,"High Park-Swansea, Toronto",
7/2/19 21:22,"@GovRonDeSantis there is a housing crisis in Hillsborough, Pinellas, Pasco, Polk and other surrounding counties. Rent has skyrocketed forcing families out, public housing is out of money. Please do something to help with this problem. Have you seen the homeless numbers? Help",Question,Frustrated,jbenson0428,4271,"Largo, FL",FL
7/2/19 15:14,@SoulReadr #homelessness isn\xe2\x80\x99t gendered and neither is poverty or the lack of public housing stock. This is a real problem. I am not alone. I want help for me before I have to sleep rough - but I want help for everyone else who is homeless too. The casual workforce doesn\xe2\x80\x99t work for me.,Experience,Frustrated,twtrrr,2124,Australia,
7/9/19 0:40,"@Duncan_de_Ese @NYCHA What\xe2\x80\x99s your source, and how are you quantifying \xe2\x80\x9cbiggest\xe2\x80\x9d? Adjusting for inflation? I\xe2\x80\x99m going off of Nick Dagen-Bloom\xe2\x80\x99s \xe2\x80\x98Public Housing That Worked,\xe2\x80\x99 which details how the city and state financed the construction and maintenance of most NYCHA buildings up until Koch and Carey.",Question,Frustrated,WillBredderman,5374,"Bay Ridge, Brooklyn",
7/7/19 5:07,"@DreverIan @BrentToderian Public housing is a valuable resource if it's not built cheap-ass and aggressively segregated. Maintenance of existing public housing stock is a nationwide challenge, but most isn't in as awful condition as the infamous high-rises.",Comment,Frustrated,RoseBigSky,8,,
7/4/19 14:33,"@DaSilvaRVA I don't think anyone is going to disagree with you about deferred maintenance being a major issue and deconcentrating public housing being critical.  How are you going to pay for it without any element of privatization, though?",Question,Frustrated,Dil37343036,2,"Rocketts Landing
",
7/9/19 17:42,"@drschweitzer @keynesianr @ShaneDPhillips @elpaavo @mc_lens @DanImmergluck Good to look at these things holistically, but largest public housing authority NYCHA spends 2x what private landlords do on opex, and the buildings are still poisoning kids with lead at higher rates than private housing. The inefficiency seems like a real problem",Comment,Frustrated,MarketUrbanism,27724,Wherever permits can be pulled,
7/9/19 17:42,"One leader does not transform our nation. @janeosanders visits everyday heroes of SF Chinatown- Lee who led nation\xe2\x80\x99s 1st public housing rent strike in 1978 +families who live in 6x10 unit organizing for affordable homes. Join us- it\xe2\x80\x99s not just a campaign, it\xe2\x80\x99s a movement #NotMeUS https://t.co/uLeYemVNVk",Comment,Positive,JaneKim,31879,San Francisco,
7/9/19 17:40,"Let\xe2\x80\x99s worry @SDG2030,it\xe2\x80\x99s in plain view can\xe2\x80\x99t b hidden behind a finger:violence of all types, hunger,poor public housing cost  higher bad conditions,high percentage older people world over in poverty,no health services:2 trillionaires+12 men globalNorth own what 3 1/2 billion own",Comment,Frustrated,benavides_marta,603,el salvador ,
7/9/19 17:40,"Let\xe2\x80\x99s worry @SDG2030,it\xe2\x80\x99s in plain view can\xe2\x80\x99t b hidden behind a finger:violence of all types, hunger,poor public housing cost  higher bad conditions,high percentage older people world over in poverty,no health services:2 trillionaires+12 men globalNorth own what 3 1/2 billion own https://t.co/SQX5HcOy3T",Comment,Frustrated,benavides_marta,603,el salvador ,
7/9/19 17:40,"@globalcompact @UN @GlobalGoalsUN @UNDESA Let\xe2\x80\x99s worry @SDG2030,it\xe2\x80\x99s in plain view can\xe2\x80\x99t b hidden behind a finger:violence of all types, hunger,poor public housing cost  higher bad conditions,high percentage older people world over in poverty,no health services:2 trillionaires+12 men globalNorth own what 3 1/2 billion own",Comment,Frustrated,benavides_marta,603,el salvador ,
7/9/19 17:35,"@AOC Humanitarian crisis your party created, by denying there was a crisis at the boarder in the first place. Denying funding for a wall and increased security. And WTH does public housing have to do with it.",Comment,Frustrated,SandyTrombly,25,"Orlando, FL",FL
7/9/19 17:29,"@ShaneDPhillips @drschweitzer @elpaavo @mc_lens @DanImmergluck This is going to be an unpopular opinion here, but to me the evidence is that public housing is very inefficient (by that I mean only a fraction--perhaps 50 percent--of the subsidy winds up helping people).  The literature on this is, however, pretty old, and needs revisiting.",Comment,Frustrated,keynesianr,2015,"Los Angeles, CA",CA
7/9/19 17:26,\xf0\x9f\x9a\xa8TODAY\xf0\x9f\x9a\xa8 is the last day to submit comments on the proposed #HUD regulation that will harm mixed-status #immigrant families living in public housing!  #bioethics #publichealth https://t.co/V4Ic1VCFTo,Comment,Neutral,faBioethics,707,"Syracuse, NY",NY
7/9/19 17:26,@amosilly @Wrlds4mostXpert @realDonaldTrFan Put before homeless people on the streets. There taking up public housing.,Comment,Frustrated,TheGentleDonN,5,,
7/9/19 17:19,"Correct, though very important note many centerist Dems also participate in underfunding public housing, healtcare, but there's always enough money for a war. https://t.co/QvoYmcnCTm",Comment,Frustrated,eee_eff,1744,"NYC, St. Louis, & Warsaw, PL",NY
7/9/19 17:17,I'm Banned From Every Strip Club &amp; Public Housing In The City \xf0\x9f\x96\x95\xf0\x9f\x8f\xbe 12 \xf0\x9f\x98\x9c,Irrelevant,Neutral,RealBossLadyTee,13,,
7/9/19 17:15,"@ShaneDPhillips @mc_lens @keynesianr @elpaavo @DanImmergluck What Michael said but with public housing in high amenity locations, different permitting process in minority neighborhoods.",Comment,Neutral,drschweitzer,5212,,
7/9/19 17:02,"Last day to comment on the proposed HUD rule prohibiting \xe2\x80\x9cmixed-status"" families in public housing/Section 8 programs. This is simply a harmful &amp; cruel rule that could evict over 100,000 people and cause long-lasting harm. https://t.co/J1YpuUxrCJ  #KeepFamiliesTogether",Policy Decision,Frustrated,dcmdjfon,26,,
7/9/19 17:02,There\xe2\x80\x99s also a really unfortunate NIMBY strain in SF despite its reputation as a progressive city. Everyone says we should support the homeless - nobody wants to build public housing or homeless shelters in their neighborhood,Comment,Frustrated,being_ulti,4153,"Atlanta, GA",GA
